Topic,BM25,JMLM,My_PRM
R101,3.247424626021168,3.247424626021168,3.4463946303571866
R102,3.4340242377576446,3.4340242377576446,3.3774233233398787
R103,2.8739897479140217,2.431959749235439,3.1309297535714578
R104,5.254494511770457,4.566611708871935,5.254494511770457
R105,4.0083530769113365,2.754494511770458,2.8225347625350192
R106,1.3868528072345416,1.3562071871080221,2.5
R107,1.5,1.1309297535714575,0.0
R108,0.3333333333333333,0.3333333333333333,0.671672063893751
R109,3.707323081247355,4.490484620363731,5.254494511770457
R110,1.9484591188793923,1.7797279636905197,3.1309297535714578
R111,0.0,0.0,0.6164948724497099
R112,3.9484591188793923,3.8770711884305795,3.9484591188793923
R113,3.747424626021168,3.2188434944168542,4.304666305987414
R114,3.394939644978184,3.417813498752873,3.48713694067948
R115,1.1309297535714575,0.9306765580733931,0.6309297535714575
R116,1.3154648767857289,1.0,3.77972796369052
R117,0.9319597492354388,1.3010299956639813,1.3010299956639813
R118,1.1878828028985229,0.8175293653079347,0.8333333333333333
R119,0.0,0.0,0.6343633289973145
R120,3.1894546246997506,2.894939644978184,2.635935150798542
R121,3.710404521763913,4.552176827750188,4.953464516106476
R122,2.0050053972270843,2.3060353928910655,4.10363181312919
R123,1.0,1.3010299956639813,1.3154648767857289
R124,2.1895405204413554,2.3739897479140217,2.8175293653079345
R125,4.2104045217639126,3.4211611784371248,3.637999639320748
R126,2.754494511770458,2.859554866792274,4.9390296349847285
R127,2.472702059557732,2.044089990006545,2.1309297535714578
R128,1.0,1.0,1.3562071871080221
R129,2.9642630869047912,3.1781011840945608,4.597257328998454
R130,1.9871369406794797,1.7640098914067264,2.0616063116448506
R131,1.0,1.0,0.31546487678572877
R132,1.4306765580733931,1.4306765580733931,1.0
R133,3.5616063116448506,3.5616063116448506,2.0
R134,0.38685280723454163,1.0,0.6164948724497099
R135,0.6895405204413555,3.0763933276758975,1.076393327675897
R136,2.1343633289973143,2.11649487244971,2.6781011840945608
R137,2.6309297535714578,2.430676558073393,2.3868528072345416
R138,1.0,0.6164948724497099,0.0
R139,2.430676558073393,2.0,2.3333333333333335
R140,4.823817953697065,4.254494511770458,1.9178134987528728
R141,4.898287324662435,3.77972796369052,4.867641704535917
R142,0.31546487678572877,0.43067655807339306,1.0
R143,0.0,0.0,0.3010299956639812
R144,1.7201861405678749,1.8026018174652085,3.0616063116448506
R145,0.0,0.0,0.0
R146,1.0,0.6309297535714575,3.290231424865667
R147,2.9484591188793923,1.8188125564699804,2.675019743578003
R148,0.3010299956639812,0.6343633289973145,0.0
R149,0.6164948724497099,0.6343633289973145,0.6309297535714575
R150,1.7639239956651211,2.220186140567875,0.9319597492354388
